"Temperature (C)","Humidity (H)","Time"
"21","18","11:29:24"
"21","18","11:29:26"
"21","18","11:29:28"
"21","19","11:29:29"
"21","18","11:29:30"
"21","19","11:29:32"
"21","18","11:29:33"
"21","19","11:29:34"
"21","19","11:29:35"
"21","20","11:29:37"
"21","51","11:29:38"
"21","50","11:29:39"
"21","47","11:29:40"
"21","45","11:29:41"
"21","44","11:29:43"
"21","36","11:29:44"
"21","41","11:29:45"
"21","39","11:29:46"
"21","37","11:29:47"
"21","35","11:29:49"
"21","34","11:29:50"
"21","32","11:29:51"
"21","31","11:29:52"
"21","31","11:29:53"
"21","27","11:29:55"
"21","25","11:29:56"
"21","20","11:29:57"
"21","20","11:29:58"
"21","20","11:30:0"
"21","19","11:30:1"
"21","19","11:30:2"
"21","20","11:30:4"
"21","20","11:30:5"
"21","20","11:30:6"
"21","19","11:30:8"
"21","20","11:30:9"
"21","18","11:30:10"
"21","18","11:30:12"
"21","18","11:30:13"
"21","18","11:30:15"
"21","20","11:30:16"
"21","18","11:30:18"
"21","18","11:30:19"
"21","20","11:30:21"
"21","20","11:30:22"
"21","18","11:30:23"
"21","18","11:30:25"
"21","18","11:30:27"
"21","20","11:30:28"
"21","20","11:30:29"
"21","20","11:30:30"
"21","18","11:30:32"
"21","19","11:30:33"
"21","18","11:30:34"
"21","19","11:30:36"
"21","19","11:30:37"
"21","19","11:30:38"
"21","18","11:30:39"
"21","18","11:30:41"
"21","18","11:30:43"
"21","19","11:30:44"
"21","18","11:30:46"
"21","18","11:30:47"
"21","19","11:30:48"
"21","19","11:30:49"
"21","19","11:30:51"
"21","19","11:30:52"
"21","19","11:30:53"
"21","18","11:30:55"
"21","18","11:30:56"
"21","19","11:30:58"
"21","19","11:30:59"
"21","19","11:31:0"
"21","18","11:31:2"
"21","19","11:31:3"
"21","19","11:31:4"
"21","19","11:31:5"
"21","18","11:31:7"
"22","19","11:31:8"
"22","19","11:31:9"
"22","19","11:31:10"
"22","19","11:31:12"
"22","19","11:31:13"
"22","19","11:31:14"
"22","19","11:31:15"
"22","19","11:31:17"
"22","19","11:31:18"
"22","19","11:31:19"
"22","19","11:31:20"
"22","18","11:31:22"
"22","19","11:31:23"
"22","19","11:31:24"
"22","18","11:31:26"
"22","19","11:31:27"
"22","19","11:31:28"
"22","19","11:31:30"
"22","19","11:31:31"
"22","19","11:31:32"
"22","19","11:31:33"
"22","19","11:31:35"
"22","19","11:31:36"
"22","19","11:31:37"
"22","19","11:31:38"
"22","19","11:31:39"
"22","19","11:31:41"
"22","19","11:31:42"
"22","19","11:31:43"
"22","17","11:31:45"
"22","19","11:31:46"
"22","19","11:31:47"
"22","19","11:31:49"
"22","19","11:31:50"
"22","19","11:31:51"
"22","19","11:31:52"
"22","19","11:31:54"
"22","19","11:31:55"
"22","19","11:31:56"
"22","19","11:31:57"
"22","19","11:31:59"
"22","19","11:32:0"
"22","19","11:32:1"
"22","19","11:32:2"
"22","19","11:32:3"
"22","19","11:32:5"
"22","19","11:32:6"
"22","19","11:32:7"
"22","19","11:32:8"
"23","18","11:32:10"
"23","18","11:32:11"
"23","18","11:32:12"
"23","18","11:32:13"
"23","18","11:32:15"
"23","18","11:32:16"
"23","17","11:32:17"
"23","17","11:32:18"
"23","17","11:32:20"
"23","17","11:32:21"
"23","17","11:32:22"
"23","17","11:32:22"
"23","17","11:32:23"
"23","17","11:32:23"
"23","17","11:32:25"
"23","17","11:32:25"
"23","17","11:32:26"
"23","17","11:32:26"
"23","17","11:32:27"
"23","17","11:32:27"
"23","17","11:32:28"
"23","17","11:32:28"
"23","17","11:32:29"
"23","17","11:32:29"
"23","17","11:32:31"
"23","17","11:32:31"
"23","17","11:32:32"
"23","17","11:32:32"
"23","55","11:32:33"
"23","55","11:32:33"
"23","77","11:32:34"
"23","77","11:32:34"
"24","79","11:32:35"
"24","79","11:32:35"
"24","78","11:32:37"
"24","78","11:32:37"
"24","78","11:32:38"
"24","78","11:32:38"
"23","76","11:32:39"
"23","76","11:32:39"
"23","74","11:32:40"
"23","74","11:32:40"
"23","74","11:32:41"
"23","74","11:32:41"
"23","73","11:32:42"
"23","73","11:32:42"
"23","72","11:32:43"
"23","72","11:32:43"
"23","72","11:32:44"
"23","72","11:32:44"
"23","71","11:32:45"
"23","71","11:32:45"
"23","71","11:32:46"
"23","71","11:32:46"
"23","71","11:32:47"
"23","71","11:32:47"
"23","71","11:32:49"
"23","71","11:32:49"